Area Team Code,Area Team Name,Organisation Code,Organisation Name," Total number of attendances in A&E HES 

(excluding planned follow-up attendances and attendances where the attendance category was unknown) ", Number of attendances from A&E Situation Reports (SitReps) - unscaled , Number of attendances from A&E Situation Reports (SitReps) - scaled [see footnote 1] ,A&E HES attendances as % of scaled SitRep attendances [see footnote 2],"Assessment of coverage of A&E HES data, compared to Sitrep data","Total number of attendances in A&E HES 

(excluding planned follow-up attendances and attendances where the attendance category was unknown)",Attendances with an unknown attendance disposal category,% of attendances with unknown attendance disposal categories,"% of attendances with an attendance disposal category of ""Other""","Total number of attendances in A&E HES 

(excluding planned follow-up attendances, attendances where the attendance category was unknown, and attendances where the attendance disposal category was unknown)","Number of attendances with an attendance disposal of ""Left Department before being seen for treatment""",Left department before being seen for treatment,"Total number of applicable attendances for this indicator (1st A&E attendance, unplanned follow up attendance and unknown attendance)", Attendances with unknown attendance category ,% of attendances with an unknown attendance category,"Total number of attendances in A&E HES 

(excluding planned follow-up attendances and attendances where the attendance category was unknown)",Number of re-attendances within 7 days of a previous attendance at A&E,Re-attendance rate,% attendances with an arrival time of exactly midnight (00:00),"Total number of attendances in A&E HES that were brought in by ambulance

(excluding planned follow-up attendances and attendances where the attendance category was unknown)",Attendances with an unknown duration to initial assessment,% of attendances with unknown duration to assessment times,Did all attendances have a duration to assessment of 0 minutes?,% of attendances with an initial assessment time of exactly midnight (00:00) [see footnote 8],AssessMedian,95th Percentile [see footnote 4],Longest wait [see footnotes 5],"Total number of attendances in A&E HES 

(excluding planned follow-up attendances,  attendances where the attendance category was unknown, and attendances where the attendance disposal category was: Left Before Treatment, Left Refusing Treatment, or Unknown)",Attendances with unknown duration to treatment,% of attendances with unknown duration to treatment times,Did more than 25% of attendances have a duration to treatment of 0 minutes?,% attendances with a treatment time of exactly midnight (00:00),TreatMedian,95th Percentile [see footnote 4],"Longest wait
 [see footnote 5]",Median,95th Percentile [see footnote 4],"Longest wait
 [see footnote 5]",Median,95th Percentile [see footnote 4],"Longest wait
 [see footnote 5]","Total number of attendances in A&E HES 

(excluding planned follow-up attendances and attendances where the attendance category was unknown)",Attendances with unknown duration to departure,% of attendances with unknown duration to departure times,Did more than 25% of attendances have a duration to departure of 0 minutes?,% attendances with a departure time of exactly midnight (00:00) [see footnote 8],TotalMedian,95th Percentile [see footnote 4],"Longest wait
 [see footnote 5]"
Q51,SOUTH YORKSHIRE AND BASSETLAW ,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,"6,743","6,301","6,751",99.9%,A&E HES attendances are within 10% of SitReps,"6,743",0,0.0%,*,"6,743",236,3.5%,"6,743",0,0.0%,"6,743",467,6.9%,0.0%,"1,925",0,0.0%,,0.1%,0,0,76,"6,478","6,466",99.8%,,0.0%,103,199,199,216,407,639,119,231,"1,435","6,743",2,0.0%,,0.1%,144,240,"1,435"
Q71,LONDON ,R1H,BARTS HEALTH NHS TRUST,"30,400","34,589","37,060",82.0%,A&E HES attendances are within 20% of SitReps,"30,400",135,0.4%,6.5%,"30,265","1,001",3.3%,"30,453",53,0.2%,"30,400","2,632",8.7%,0.0%,"7,648",0,0.0%,,4.3%,15,146,"1,439","29,222",347,1.2%,,6.9%,60,380,"1,437",234,435,"1,108",133,239,"1,013","30,400",0,0.0%,,2.0%,161,338,"1,108"
Q57,ESSEX ,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,"9,459","9,504","10,183",92.9%,A&E HES attendances are within 10% of SitReps,"9,459",211,2.2%,0.0%,"9,248",153,1.7%,"9,459",0,0.0%,"9,459",602,6.4%,0.0%,"2,363",416,17.6%,,0.0%,18,65,168,"9,072",36,0.4%,,0.1%,67,182,"1,438",233,574,"1,262",156,366,"1,419","9,459",0,0.0%,,0.1%,179,412,"1,419"
Q58,HERTFORDSHIRE AND THE SOUTH MIDLANDS ,RC1,BEDFORD HOSPITAL NHS TRUST,"5,541","5,170","5,539",100.0%,A&E HES attendances are within 10% of SitReps,"5,541",0,0.0%,0.0%,"5,541",125,2.3%,"5,541",0,0.0%,"5,541",380,6.9%,0.0%,"1,231",0,0.0%,,0.1%,1,8,"1,438","5,403",280,5.2%,,0.1%,49,161,"1,439",223,413,"1,411",121,238,"1,255","5,541",0,0.0%,,0.3%,143,281,"1,411"
Q69,THAMES VALLEY ,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,"1,086","4,875","5,223",20.8%,A&E HES attendances are less than 80% or more than 120% of SitRep attendances,"1,086",11,1.0%,2.1%,"1,075",*,*,"1,086",0,0.0%,"1,086",37,3.4%,0.0%,8,0,0.0%,Yes,0.0%,~,~,~,"1,073",0,0.0%,,0.0%,16,87,175,No Data,No Data,No Data,56,147,222,"1,086",0,0.0%,,0.0%,55,147,222
Q54,BIRMINGHAM AND THE BLACK COUNTRY ,RQ3,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,"4,498","4,235","4,538",99.1%,A&E HES attendances are within 10% of SitReps,"4,498",0,0.0%,1.4%,"4,498",103,2.3%,"4,498",0,0.0%,"4,498",310,6.9%,0.0%,561,0,0.0%,,0.0%,6,14,22,"4,392",0,0.0%,,0.0%,60,179,385,172,252,629,106,230,"1,050","4,498",0,0.0%,,0.3%,117,236,"1,050"
Q47,LANCASHIRE ,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,"6,864","7,758","8,312",82.6%,A&E HES attendances are within 20% of SitReps,"6,864",0,0.0%,3.1%,"6,864",268,3.9%,"6,864",0,0.0%,"6,864",475,6.9%,0.1%,"2,909",0,0.0%,,5.7%,8,266,"1,426","6,514",0,0.0%,,5.9%,62,261,"1,418",228,524,"1,065",141,240,"1,393","6,864",3,0.0%,,0.4%,168,340,"1,393"
Q66,"DEVON, CORNWALL AND ISLES OF SCILLY ",NLL11,BODMIN COMMUNITY HOSPITAL,810,No Data,No Data,No Data,No Data,810,0,0.0%,0.0%,810,9,1.1%,810,0,0.0%,810,38,4.7%,0.0%,*,*,0.0%,Yes,0.0%,~,~,~,801,0,0.0%,,0.0%,10,55,142,*,*,*,45,110,214,810,0,0.0%,,0.0%,45,110,214
Q46,GREATER MANCHESTER ,RMC,BOLTON NHS FOUNDATION TRUST,"9,734","9,138","9,791",99.4%,A&E HES attendances are within 10% of SitReps,"9,734",3,0.0%,0.5%,"9,731",288,3.0%,"9,734",0,0.0%,"9,734",593,6.1%,0.1%,"2,623",0,0.0%,,0.1%,0,17,"1,439","9,411",460,4.9%,,0.4%,62,183,"1,439",201,371,744,107,226,688,"9,734",1,0.0%,,0.4%,124,262,744
Q52,WEST YORKSHIRE ,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,"10,756","10,101","10,823",99.4%,A&E HES attendances are within 10% of SitReps,"10,756",0,0.0%,0.5%,"10,756",321,3.0%,"10,756",0,0.0%,"10,756",746,6.9%,0.1%,"3,326",6,0.2%,,0.1%,1,4,107,"10,132","3,168",31.3%,,0.0%,75,203,"1,427",229,356,783,149,239,615,"10,756",0,0.0%,,0.1%,169,239,783
Q50,NORTH YORKSHIRE AND HUMBER ,NNF09,BRANSHOLME HEALTH CENTRE,"1,188","1,074","1,151",103.2%,A&E HES attendances are within 10% of SitReps,"1,188",0,0.0%,0.0%,"1,188",21,1.8%,"1,188",0,0.0%,"1,188",27,2.3%,0.0%,No Data,No Data,No Data,,No Data,No Data,No Data,No Data,"1,167",0,0.0%,,0.0%,15,71,149,*,*,*,35,98,189,"1,188",0,0.0%,,0.0%,35,98,189
Q46,GREATER MANCHESTER ,RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS TRUST,"12,718","12,217","13,090",97.2%,A&E HES attendances are within 10% of SitReps,"12,718",0,0.0%,0.2%,"12,718",432,3.4%,"12,718",0,0.0%,"12,718",782,6.1%,0.0%,19,0,0.0%,,0.0%,13,74,74,"12,283",0,0.0%,,0.0%,41,145,339,*,*,*,60,169,427,"12,718",0,0.0%,,0.0%,60,169,427
Q50,NORTH YORKSHIRE AND HUMBER ,NNF16,BRIDLINGTON HOSPITAL,"1,697","1,540","1,650",102.8%,A&E HES attendances are within 10% of SitReps,"1,697",0,0.0%,2.7%,"1,697",33,1.9%,"1,697",0,0.0%,"1,697",110,6.5%,0.0%,15,0,0.0%,,0.0%,20,112,112,"1,663",2,0.1%,,0.0%,21,86,237,62,118,118,50,127,264,"1,697",0,0.0%,,0.0%,50,126,264
Q68,SURREY AND SUSSEX ,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,"12,558","12,175","13,045",96.3%,A&E HES attendances are within 10% of SitReps,"12,558",1,0.0%,*,"12,557",303,2.4%,"12,558",0,0.0%,"12,558","1,026",8.2%,0.0%,"3,646",20,0.5%,,0.3%,2,54,"1,199","12,203",293,2.4%,,0.0%,57,226,"1,434",238,745,"1,294",133,240,"1,302","12,558",0,0.0%,,0.1%,154,438,"1,302"
Q69,THAMES VALLEY ,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,"6,557","9,353","10,021",65.4%,A&E HES attendances are less than 80% or more than 120% of SitRep attendances,"6,557",0,0.0%,0.0%,"6,557",201,3.1%,"6,557",0,0.0%,"6,557",412,6.3%,0.0%,"1,787",0,0.0%,,93.3%,519,"1,351","1,439","6,350",0,0.0%,,17.7%,69,688,"1,439",225,801,"1,321",154,255,"1,371","6,557",0,0.0%,,0.2%,181,487,"1,371"
Q60,SHROPSHIRE AND STAFFORDSHIRE ,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,"9,635","9,028","9,673",99.6%,A&E HES attendances are within 10% of SitReps,"9,635",0,0.0%,0.6%,"9,635",144,1.5%,"9,635",0,0.0%,"9,635",548,5.7%,0.0%,875,32,3.7%,,0.3%,3,19,197,"9,482","5,059",53.4%,,0.0%,60,178,305,230,500,965,53,231,698,"9,635",0,0.0%,,0.1%,68,286,965
Q52,WEST YORKSHIRE ,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,"11,451","10,960","11,743",97.5%,A&E HES attendances are within 10% of SitReps,"11,451",1,0.0%,0.4%,"11,450",398,3.5%,"11,464",13,0.1%,"11,451",544,4.8%,0.0%,"3,093",83,2.7%,,0.0%,4,20,98,"11,050",313,2.8%,,0.0%,21,126,436,211,418,765,103,230,"1,346","11,451",0,0.0%,,0.0%,122,262,"1,346"
Q66,"DEVON, CORNWALL AND ISLES OF SCILLY ",NLL17,CAMBOURNE REDRUTH COMMUNITY HOSPITAL,977,No Data,No Data,No Data,No Data,977,0,0.0%,0.0%,977,8,0.8%,977,0,0.0%,977,57,5.8%,0.0%,*,*,0.0%,,0.0%,*,*,*,969,0,0.0%,,0.0%,20,83,119,*,*,*,55,137,232,977,0,0.0%,,0.0%,55,137,232
Q56,EAST ANGLIA ,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,"8,902","8,325","8,920",99.8%,A&E HES attendances are within 10% of SitReps,"8,902",0,0.0%,0.0%,"8,902",169,1.9%,"8,902",0,0.0%,"8,902",528,5.9%,0.0%,"2,471",0,0.0%,,0.0%,0,1,129,"8,709",802,9.2%,,0.2%,79,180,420,230,344,560,145,239,482,"8,902",0,0.0%,,0.0%,182,287,560
Q56,EAST ANGLIA ,RYV,CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST,"3,164","2,995","3,209",98.6%,A&E HES attendances are within 10% of SitReps,"3,164",27,0.9%,8.4%,"3,137",21,0.7%,"3,164",0,0.0%,"3,164",392,12.4%,0.0%,No Data,No Data,No Data,,No Data,No Data,No Data,No Data,"3,116","3,116",100.0%,,0.0%,,,,No Data,No Data,No Data,38,97,922,"3,164",0,0.0%,,0.0%,38,97,922
Q46,GREATER MANCHESTER ,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,"21,735","22,901","24,537",88.6%,A&E HES attendances are within 20% of SitReps,"21,735",0,0.0%,0.7%,"21,735",786,3.6%,"21,735",0,0.0%,"21,735","2,301",10.6%,0.0%,"3,289",12,0.4%,,0.1%,0,15,"1,439","20,828","1,603",7.7%,,0.1%,61,201,"1,104",233,586,"1,006",116,235,"1,313","21,735",0,0.0%,,0.1%,134,323,"1,313"
Q71,LONDON ,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,"9,493","9,030","9,675",98.1%,A&E HES attendances are within 10% of SitReps,"9,493",1,0.0%,62.7%,"9,492",53,0.6%,"9,494",1,0.0%,"9,493",749,7.9%,0.0%,"1,140",17,1.5%,,0.1%,5,27,"1,435","9,398",7,0.1%,,0.0%,60,180,709,227,366,709,163,258,761,"9,493",0,0.0%,,0.1%,173,263,761
Q58,HERTFORDSHIRE AND THE SOUTH MIDLANDS ,NQTL1,CHESHUNT MINOR INJURIES UNIT,"1,353","1,279","1,370",98.8%,A&E HES attendances are within 10% of SitReps,"1,353",0,0.0%,10.4%,"1,353",13,1.0%,"1,353",0,0.0%,"1,353",76,5.6%,0.0%,28,0,0.0%,,0.0%,0,1,1,"1,339",0,0.0%,,0.0%,21,85,190,No Data,No Data,No Data,47,141,238,"1,353",0,0.0%,,0.0%,47,141,238
Q55,DERBYSHIRE AND NOTTINGHAMSHIRE ,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,"5,837","5,795","6,209",94.0%,A&E HES attendances are within 10% of SitReps,"5,837",0,0.0%,3.8%,"5,837",127,2.2%,"5,837",0,0.0%,"5,837",349,6.0%,0.0%,"1,907",0,0.0%,,0.0%,6,29,180,"5,689",0,0.0%,,0.1%,82,178,304,223,309,581,135,231,473,"5,837",0,0.0%,,0.0%,162,240,581
Q49,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR ",RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,"10,342","9,699","10,392",99.5%,A&E HES attendances are within 10% of SitReps,"10,342",0,0.0%,0.0%,"10,342",129,1.2%,"10,342",0,0.0%,"10,342",821,7.9%,0.0%,"2,611",91,3.5%,,0.1%,11,57,196,"10,183","1,456",14.3%,,0.1%,57,175,440,194,385,"1,437",102,239,"1,402","10,342",14,0.1%,,0.2%,120,288,"1,437"
Q57,ESSEX ,NQ108,CLACTON HOSPITAL,"2,076","1,932","2,070",100.3%,A&E HES attendances are within 10% of SitReps,"2,076",0,0.0%,11.3%,"2,076",38,1.8%,"2,076",0,0.0%,"2,076",52,2.5%,0.0%,20,0,0.0%,,0.0%,0,1,1,"2,038",0,0.0%,,0.0%,20,78,911,No Data,No Data,No Data,44,119,843,"2,076",0,0.0%,,0.0%,44,119,843
Q57,ESSEX ,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,"6,567","6,180","6,621",99.2%,A&E HES attendances are within 10% of SitReps,"6,567",0,0.0%,0.2%,"6,567",97,1.5%,"6,567",0,0.0%,"6,567",294,4.5%,0.0%,"2,298",1,0.0%,,0.1%,0,13,122,"6,453",1,0.0%,,0.4%,47,135,471,208,340,686,113,234,701,"6,567",0,0.0%,,0.5%,139,240,701
Q44,"CHESHIRE, WARRINGTON AND WIRRAL ",RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,"5,653","6,550","7,018",80.6%,A&E HES attendances are within 20% of SitReps,"5,653",0,0.0%,0.0%,"5,653",174,3.1%,"5,682",29,0.5%,"5,653",343,6.1%,0.0%,"1,740","1,739",99.9%,,0.0%,231,231,231,"4,626",0,0.0%,Yes,0.0%,~,~,~,209,358,"1,003",164,239,"1,037","5,653",1,0.0%,,0.1%,174,260,"1,037"
Q45,"DURHAM, DARLINGTON AND TEES ",RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,"23,823","22,318","23,912",99.6%,A&E HES attendances are within 10% of SitReps,"23,823",3,0.0%,0.4%,"23,820",376,1.6%,"23,823",0,0.0%,"23,823",606,2.5%,0.0%,"4,055",0,0.0%,,0.2%,6,48,130,"23,400",413,1.8%,,0.1%,26,132,545,223,583,905,48,218,940,"23,823",0,0.0%,,0.1%,54,239,940
Q71,LONDON ,RJ6,CROYDON HEALTH SERVICES NHS TRUST,"7,393","10,779","11,549",64.0%,A&E HES attendances are less than 80% or more than 120% of SitRep attendances,"7,393",11,0.1%,*,"7,382",292,4.0%,"7,393",0,0.0%,"7,393",682,9.2%,0.0%,"2,644",65,2.5%,,0.1%,91,223,789,"7,085",72,1.0%,Yes,0.0%,~,~,~,232,452,"1,399",152,239,"1,070","7,393",1,0.0%,,0.0%,198,350,"1,399"
Q71,LONDON ,NQT80,CROYDON URGENT CARE CENTRE,"3,990",No Data,No Data,No Data,No Data,"3,990",0,0.0%,0.0%,"3,990",163,4.1%,"3,990",0,0.0%,"3,990",112,2.8%,0.1%,232,111,47.8%,,0.0%,17,51,73,"3,826",395,10.3%,,0.0%,105,203,325,*,*,*,142,230,355,"3,990",0,0.0%,,0.1%,142,230,355
Q49,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR ",RNN,CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST,"3,636","3,744","4,011",90.7%,A&E HES attendances are within 10% of SitReps,"3,636",0,0.0%,10.7%,"3,636",45,1.2%,"3,636",0,0.0%,"3,636",347,9.5%,0.0%,130,0,0.0%,,0.0%,13,74,147,"3,590",0,0.0%,,0.4%,60,233,"1,432",240,792,"1,006",73,261,"1,433","3,636",0,0.0%,,0.1%,74,270,"1,433"
Q67,KENT AND MEDWAY ,RN7,DARTFORD AND GRAVESHAM NHS TRUST,"8,545","8,008","8,580",99.6%,A&E HES attendances are within 10% of SitReps,"8,545",0,0.0%,2.5%,"8,545",341,4.0%,"8,545",0,0.0%,"8,545",658,7.7%,0.1%,"2,264",12,0.5%,,0.1%,4,25,"1,439","8,181",619,7.6%,,0.0%,69,184,396,233,377,924,152,237,755,"8,545",0,0.0%,,0.2%,178,240,924
Q55,DERBYSHIRE AND NOTTINGHAMSHIRE ,RTG,DERBY HOSPITALS NHS FOUNDATION TRUST,"10,549","13,375","14,330",73.6%,A&E HES attendances are less than 80% or more than 120% of SitRep attendances,"10,549",0,0.0%,0.0%,"10,549",140,1.3%,"10,549",0,0.0%,"10,549",826,7.8%,0.0%,"3,422",85,2.5%,,0.0%,4,13,161,"10,328",0,0.0%,,0.0%,51,135,"1,439",215,287,710,121,233,901,"10,549",0,0.0%,,0.0%,147,240,901
Q55,DERBYSHIRE AND NOTTINGHAMSHIRE ,RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,"2,360","3,312","3,549",66.5%,A&E HES attendances are less than 80% or more than 120% of SitRep attendances,"2,360",1,0.0%,7.8%,"2,359",28,1.2%,"2,360",0,0.0%,"2,360",51,2.2%,0.0%,*,*,0.0%,,0.0%,*,*,*,"2,327",420,18.0%,,0.0%,32,118,188,No Data,No Data,No Data,61,150,232,"2,360",0,0.0%,,0.0%,61,150,232
Q51,SOUTH YORKSHIRE AND BASSETLAW ,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,"13,550","13,843","14,832",91.4%,A&E HES attendances are within 10% of SitReps,"13,550",0,0.0%,*,"13,550",347,2.6%,"13,550",0,0.0%,"13,550","1,247",9.2%,0.1%,"3,642",0,0.0%,,18.6%,5,859,"1,439","13,189",0,0.0%,,0.1%,53,148,771,222,443,817,122,235,811,"13,550",0,0.0%,,0.1%,136,240,817
Q70,WESSEX ,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,"3,413","3,216","3,446",99.0%,A&E HES attendances are within 10% of SitReps,"3,413",0,0.0%,0.2%,"3,413",31,0.9%,"3,413",0,0.0%,"3,413",152,4.5%,0.0%,"1,108",2,0.2%,,0.0%,1,22,121,"3,381",23,0.7%,,0.0%,46,154,355,202,329,718,100,235,653,"3,413",0,0.0%,,0.0%,127,240,718
Q70,WESSEX ,RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,"3,457","3,234","3,465",99.8%,A&E HES attendances are within 10% of SitReps,"3,457",0,0.0%,22.5%,"3,457",10,0.3%,"3,457",0,0.0%,"3,457",293,8.5%,0.0%,19,0,0.0%,,0.0%,10,134,134,"3,447",2,0.1%,,0.0%,10,68,"1,407",No Data,No Data,No Data,33,100,"1,430","3,457",0,0.0%,,0.0%,33,100,"1,430"
Q71,LONDON ,RC3,EALING HOSPITAL NHS TRUST,"15,106","8,525","9,134",165.4%,A&E HES attendances are less than 80% or more than 120% of SitRep attendances,"15,106",0,0.0%,2.9%,"15,106",384,2.5%,"15,267",161,1.1%,"15,106","1,660",11.0%,0.0%,"1,794",6,0.3%,,0.1%,5,16,449,"14,706",128,0.9%,,0.0%,53,177,554,226,307,827,97,227,803,"15,106",0,0.0%,,0.1%,107,236,827
