name,tel,street,locality,region,postcode
Weybridge Community Hospital,01932 852931,"Weybridge Community Hospital, 22 Church Street",Weybridge,Surrey,KT13 8DY
Loxford Polyclinic,,"417 Ilford Lane, Town Centre",Ilford,Essex,IG1 2PF
Teddington Memorial Hospital,,Hampton Road,Teddington,Middlesex,TW11 0JL
Mount Gould Hospital,01752 268011,Mount Gould Road,Plymouth,,PL4 7QD
Cherry Knowle Hospital,0191 565 6256,Ryhope,Sunderland,Tyne and Wear,SR2 0NB
BMI The Chaucer Hospital,01227 825100,Nackington Road,Canterbury,Kent,CT4 7AR
Chalfont's & Gerrards Cross Hospital,,"Hampden Road, Chalfont St. Peter",Gerrards Cross,Buckinghamshire,SL9 9DR
Peterlee Community Hospital,0191 5863474,O'neill Drive,Peterlee,,SR8 5UQ
The North East NHS Surgery Centre,0191 445 2474,"Queen Elizabeth Hospital, Queen Elizabeth Avenue, Sheriff Hill",Gateshead,Tyne and Wear,NE9 6SX
Brighton General Hospital,01273 696011,Elm Grove,Brighton,East Sussex,BN2 3EW
Lbhealthcare,01489 569888,"Gull Coppice, Whiteley",Fareham,Hampshire,PO15 7LS
CircleReading,,11 Kendrick Road,Reading,Berkshire,RG1 5DU
Sheffield Children's Hospital,0114 2717000,Western Bank,Sheffield,South Yorkshire,S10 2TH
BMI The Clementine Churchill Hospital,020 8872 3872,Sudbury Hill,Harrow,Middlesex,HA1 3RX
University Hospital Of Hartlepool,01429 266654,Holdforth Road,Hartlepool,Cleveland,TS24 9AH
Weston Park Hospital,0114 226 5000,Whitham Road,Sheffield,South Yorkshire,S10 2SJ
Gloucestershire Royal Hospital,03004 222 222,"Trust HQ, 1 College Lawn",Cheltenham,Gloucestershire,GL53 7AG
Litchdon Medical Centre,01271 323443,Landkey Road,Barnstaple,Devon,EX32 9LL
Royal Brompton Hospital,020 7352 8121,Sydney Street,London,Greater London,SW3 6NP
Royal Sussex County Hospital,01273 696955,Eastern Road,Brighton,East Sussex,BN2 5BE
Bolton One,01204 462626,"Bolton One, Moor Lane",Bolton,,BL3 5BN
The Ipswich Hospital,01473 712 233,Heath Road,Ipswich,Suffolk,IP4 5PD
Spire Bristol Hospital,0117 980 4000,Redland Hill,Bristol,,BS6 6UT
Bedford Hospital South Wing,01234 355 122,"South Wing, Kempston Road",Bedford,Bedfordshire,MK42 9DJ
Callington Road Hospital,0117 919 5600,"Marmalade Lane, Brislington",Bristol,,BS4 5BJ
Reaside Clinic,0121 678 3000,"Birmingham Great Park, Bristol Road South, Rednal",Birmingham,West Midlands,B45 9BE
Hallam Street Hospital,0121 612 8628,"Hallam Street, Hallam Street",West Bromwich,,B71 4NH
Rosie Hospital,01223 217 617,Robinson Way,Cambridge,Cambridgeshire,CB2 0QQ
North Downs Hospital,01883 348981,46 Tupwood Lane,Caterham,Surrey,CR3 6DP
Fanshawe Clinic (Outreach),,57 Halbutt Street,,Dagenham,RM9 5AR
Tiverton and District Hospital,01884 235 400,Kennedy Way,Tiverton,Devon,EX16 6NT
King Edward Vii Hospital,01753 860441,St Leonards Road,Windsor,Berkshire,SL4 3DP
"Malton, Norton & District Hospital",01653 693041,Middlecave Road,Malton,North Yorkshire,YO17 7NG
Crowborough Birthing Centre,01892 652284,Southview Road,Crowborough,Sussex,TN6 1HB
Bognor Regis War Memorial Hospital,01243 865418,"Bognor Regis War Memorial Hospital, Shripney Road",Bognor Regis,,PO22 9PP
Farnham Hospital Outpatients Department,01483 782000,Hale Road,Farnham,Surrey,GU9 9QL
Avondale ,01482 216624,"Gladstone Street, Anlaby Road",Hull,,HU3 2RT
Blackburn Birth Centre,01254 733434,"Park Lee Road, Park Lee Road",Blackburn,Lancashire,BB2 3NX
Royal Berkshire Bracknell Clinic,01344 662 900,"Eastern Gate, Brants Bridge",Bracknell,Berkshire,RG12 9BG
Princess Alexandra Hospital,01279 444455,Hamstel Road,Harlow,Essex,CM20 1QX
Swindon Health Centre,,"Carfax Street, Swindon",,,SN1 1ED
Hythe Hospital,023 8042 3203,"Beaulieu Road, Hythe",Southampton,Hampshire,SO45 4ZB
North Manchester General Hospital,0161 795 4567,"Delaunays Road, Crumpsall",Manchester,Greater Manchester,M8 5RB
Macclesfield District General Hospital,01625 421000,Victoria Road,Macclesfield,Cheshire,SK10 3BL
Royal Shrewsbury Hospital,01743 261000,Mytton Oak Road,Shrewsbury,Shropshire,SY3 8XQ
Market Harborough & District Hospital,,58 Coventry Road,Market Harborough,Leicestershire,LE16 9DD
Coventry Nhs Healthcare & Walk In Centre,0300 200 0060,Stoney Stanton Road,Coventry,West Midlands,CV1 4FS
Ellesmere Port Hospital,01244 362986,"114 Chester Road, Whitby",Ellesmere Port,Merseyside,CH65 6SG
Sevenoaks Hospital,,Hospital Road,Sevenoaks,Kent,TN13 3PG
Morley Street Child / Dental Services,01273 698041,"Morley Street Dental Clinic, Morley St",Brighton,Sussex,BN2 9DH
Ashford Hospital,01784 884488,London Road,Ashford,Middlesex,TW15 3AA
St James's Hospital,0113 243 3144,Beckett Street,Leeds,West Yorkshire,LS9 7TF
Whitby Hospital,01609536115,"HAS Directorate Office, Whitby Hospital",Whitby,North Yorkshire,YO22 4ER
St Peter's Hospital,01932 872000,"St Peters Hospital, Guildford Road",Chertsey,Surrey,KT16 0PZ
Alexandra Hospital,01527 503 030,Woodrow Drive,Redditch,Worcestershire,B98 7UB
The Whalton Unit,0344 811 8111,South Road,Morpeth,Northumberland,NE61 2BT
Salisbury District Hospital,01722 336262,Odstock Road,Salisbury,Wiltshire,SP2 8BJ
Guest Hospital,01384 456111,Tipton Rd,Dudley,West Midlands,DY1 4SE
Stoke Mandeville Hospital,01296 315000,"Amersham Hospital, Whielden Street",Amersham,Buckinghamshire,HP7 0JD
BMI The Princess Margaret Hospital,01753 743434,Osborne Road,Windsor,Berkshire,SL4 3SJ
Dean Street,,56 Dean Street,London,Greater London,W1D 6AQ
Priory Clinic Nottingham,0115 969 3388,Ransom Road,Nottingham,Nottinghamshire,NG3 5GS
Cannock Chase Hospital,01543 572757,Brunswick Road,Cannock,Staffordshire,WS11 5XY
Fleet Community Hospital,,Church Road,Fleet,Hampshire,GU51 4LZ
Skipton General Hospital,01756 792233,Keighley Road,Skipton,North Yorkshire,BD23 2RJ
Leatherhead Hospital,,Poplar Road,Leatherhead,Surrey,KT22 8SD
Royal South Hants Hospital,,Brintons Terrace,Southampton,Hampshire,SO14 0YG
St Oswald's,01452875000,Gavel Way,Gloucester,Gloucestershire,GL1 2UF
London Road Community Hospital,01332 265500,London Road,Derby,Derbyshire,DE1 2QY
Spire Fylde Coast Hospital,01253 394 188,St. Walburgas Road,Blackpool,Lancashire,FY3 8BP
Caterham Dene Hospital,01883 837500,Church Road,Caterham,Surrey,CR3 5RA
Royal Preston Hospital,01772 716565,"Chief Executive's Office, Royal Preston Hospital, Sharoe Green Lane, Fulwood",Preston,Lancashire,PR2 9HT
Chipping Norton War Memorial Community Hospital Out-Patient and Maternity Unit,01608 648200,"Russell Way, London Road",Chipping Norton,Oxfordshire,OX7 5FA
Chippenham Community Hospital,01249 447100,Rowden Hill,Chippenham,Wiltshire,SN15 2AJ
Devizes NHS Treatment Centre,0117 906 1801,Marshall Road,Devizes,Wiltshire,SN10 3UF
Accrington Victoria Hospital,,Hayward Road,,,BB5 6AS
Grantham and District Hospital,01476 565232,Manthorpe Road,Grantham,Lincolnshire,NG31 8DG
BMI Bath Clinic,01225 835555,"The Bath Clinic, Claverton Down Road, Combe Down",Bath,Avon,BA2 7BR
St Charles Centre for Health and Wellbeing,,Exmoor Street,,,W10 6DZ
The Royal Liverpool University Hospital,0151 706 2000,Prescot Street,Liverpool,Merseyside,L7 8XP
St Barnabas Hospital,,Higher Port View,Saltash,Cornwall,PL12 4BU
University Hospital Lewisham,020 8333 3000,Lewisham High Street,London,,SE13 6LH
Royal National Hospital For Rheumatic Diseases NHS FT,01225 465941,"RNHRD, Upper Borough Walls",Bath,,BA1 1RL
Princess Anne Hospital,023 8077 7222,Coxford Road,Southampton,Hampshire,SO16 5YA
Leicester Royal Infirmary,0300 303 1573,"Leicester Royal Infirmary, Infirmary Square",Leicester,Leicestershire,LE1 5WW
Pendle Community Hospital,01282 425071,"Leeds Road, Leeds Rd",Nelson,Lancashire,BB9 9SZ
North East London NHS Treatment Centre,0333 200 4069,"c/o Care UK, King George Hospital, Barley Lane",Ilford,Essex,IG3 8YB
Brixham Community Hospital,01803 881399,Greenswood Road,Brixham,Devon,TQ5 9HW
BMI Sarum Road Hospital,01962 844555,Sarum Road,Winchester,Hampshire,SO22 5HA
Pontefract Hospital,* 0844 8118110,Friarwood Lane,Pontefract,West Yorkshire,WF8 1PL
Chester Le Street Hospital,0191 333 2333,Front Street,Chester Le Street,County Durham,DH3 3AT
Bridgnorth Hospital,01746 762641,Northgate,Bridgnorth,Shropshire,WV16 4EU
"Royal National Throat, Nose and Ear Hospital",020 3456 7890,330 Grays Inn Road,London,,WC1X 8DA
William Harvey Hospital (Ashford),01233 633331,"Kennington Road, Willesborough",Ashford,Kent,TN24 0LZ
Royal Berkshire Hospital,0118 322 5111,London Road,Reading,Berkshire,RG1 5AN
St George's,01702331512,Park Terrace,Westcliff On Sea,Essex,SS0 7PH
"Foxglove Ward, King George Hospital",,Barley Lane,,,IG3 8YB
Oakwood Surgery,,"Church Street, Mansfield Woodhouse",,Mansfield,NG19 8BL
The Heart Hospital,020 3456 7898,"The Heart Hospital, 16-18 Westmoreland Street",London,,W1G 8PH
Burnham On Sea War Memorial Hospital,,Love Lane,Burnham-On-Sea,Somerset,TA8 1ED
Wonford House Hospital,01392 208866,Dryden Road,Exeter,Devon,EX2 5AF
The Royal London Hospital For Integrated Medicine,020 3456 7890,60 Great Ormond Street,London,,WC1N 3HR
Spire Elland Hospital,01422 324083 ,Elland Lane,Elland,West Yorkshire,HX5 9EB
Purley War Memorial Hospital,,"Purley War Memorial Hospital, 856 Brighton Road",Purley,Surrey,CR8 2YL
The Berkshire Independent Hospital,0118 902 8000,"Swallowscroft, Wensley Road",Reading,Berkshire,RG1 6UZ
Hospital Of St Cross,01788 572831,Barby Rd,Rugby,Warwickshire,CV22 5PX
Loughborough Hospital,,EPINAL WAY,LOUGHBOROUGH,,LE11 5JY
Braintree Community Hospital,,"Braintree Community Hospital, Chadwick Drive",Braintree,Essex,CM7 2AL
Liskeard Community Hospital,,Clemo Road,Liskeard,Cornwall,PL14 3XD
Molesey Hospital,,High Street,West Molesey,Surrey,KT8 2LU
Moseley Hall Hospital,0121 466 6000,Alcester Road,Birmingham,,B13 8JL
Royal Alexandra Children's Hospital,01273 696955,Eastern Road,Brighton,East Sussex,BN2 5BE
Newton Abbot Community Hospital,01626 324500,"West Golds Road, Jetty Marsh",Newton Abbot,Devon,TQ12 2SL
BMI The Somerfield Hospital,01622 208000,63-77 London Road,Maidstone,Kent,ME16 0DU
"Nuffield Health, Ipswich Hospital",0800 015 5020,Foxhall Road,Ipswich,Suffolk,IP4 5SW
University Hospital Of North Tees,,"University Hospital Of North Tees, Hardwick Road",Stockton-On-Tees,Cleveland,TS19 8PE
Ludlow Community Hospital,,Gravel Hill,Ludlow,Shropshire,SY8 1QX
St Bartholomew's Hospital,,New Road,Rochester,Kent,ME1 1DS
Barlborough NHS Treatment Centre,0333 200 4066,"c/o Care UK, 2 Lindrick Way, Barlborough",Chesterfield,Derbyshire,S43 4XE
Stroud General Hospital,0300 421 8080,Trinity Road,Stroud,Gloucestershire,GL5 2HY
"Knowsley Nhs Walk-In Centre, Halewood",0151 244 3532,"The Halewood Centre, Roseheath Drive",Liverpool,Merseyside,L26 9UH
Vale Community Hospital,0300 421 8494,Lister Road,Dursley,,GL11 4BA
Redcar Primary Care Hospital,,West Dyke Road,Redcar,Cleveland,TS10 4NW
BMI The Lincoln Hospital,01522 578 000,Nettleham Road,Lincoln,Lincolnshire,LN2 1QU
Heanor Memorial Hospital,,Ilkeston Road,,,DE75 7EA
St Helens Hospital,01744 26633,Marshalls Cross Road,St. Helens,Merseyside,WA9 3DA
Milton Keynes Urgent Care Services Cic,,"Milton Keynes General Hospital, Standing Way, Eaglestone",Milton Keynes,Buckinghamshire,MK6 5NG
Harlow - Derwent Centre,,"Princess Alexandra Hospital, Hamstel Road",,Harlow,CM20 1QX
The Fountains,01708554456,12 Theydon Gardens,Rainham,Essex,RM13 7TU
Spire Leeds Hospital,0113 269 3939,Jackson Avenue,Leeds,West Yorkshire,LS8 1NT
John Radcliffe Hospital,01865 741166,"Headley Way, Headington",Oxford,Oxfordshire,OX3 9DU
St George's At St John's Therapy Centre,020 8812 5385,162 St. John's Hill,London,Greater London,SW11 1SW
Montagu Hospital,01709 585171,Adwick Road,Mexborough,,S64 0AZ
North Middlesex University Hospital,020 8887 2000,Sterling Way,London,,N18 1QX
Royal Hallamshire Hospital,0114 271 1900,Glossop Road,Sheffield,South Yorkshire,S10 2JF
Chorley and South Ribble Hospital,01257 261222,"Chorley and South Ribble Hospital, Preston Road",Chorley,Lancashire,PR7 1PP
Fulwood Hall Hospital,01772 704111,"Midgery Lane, Fulwood",Preston,Lancashire,PR2 9SZ
Maudsley Hospital,020 3228 6000,Denmark Hill,London,,SE5 8AZ
Heatherwood Hospital,01344 623 333,London Road,Ascot,Berkshire,SL5 8AA
Bishop Auckland Hospital,01388 455000,Cockton Hill Road,Bishop Auckland,County Durham,DL14 6AD
Queen's Hospital,01708 435000,"Queen's Hospital, Rom Valley Way",Romford,Essex,RM7 0AG
"Nuffield Health, Chichester Hospital",01243 530 600,78 Broyle Road,Chichester,,PO19 6WB
Gosport War Memorial Hospital,023 9252 4611 ,"Bury Road, Gosport",Gosport,Hampshire,PO12 3PW
The Westbourne Centre,0121 456 0880,"53 Church Road, Edgbaston",Birmingham,,B15 3SJ
BMI Thornbury Hospital,0114 2661133,312 Fulwood Road,Sheffield,,S10 3BR
Leicester General Hospital,0300 303 1573,Gwendolen Road,Leicester,Leicestershire,LE5 4PW
Stratford Hospital,01789  205831,Arden Street,Stratford-upon-Avon,Warwickshire,CV37 6NX
Maghull Health Centre,0151 520 2488,"Westway, Maghull, Liverpool",Merseyside,,L31 0DJ
Grays Hall,,Orsett Road,,Grays,RM17 5TT
"Cross Lane Hospital, Scarborough",01723 384600,Cross Lane,Scarborough,North Yorkshire,YO12 6DN
K McGuiness Opticians - Hearingcare Clinc,,"Unit B1, Greenwell Road, Newton Aycliffe",,,DL5 4DH
St George's Hospital (London),0208 672 1255,Blackshaw Road,London,Greater London,SW17 0QT
Cumberland Infirmary,01228 523444,Newtown Road,Carlisle,Cumbria,CA2 7HY
Royal Victoria Hospital (Folkestone),01303 850202,"Royal Victoria Hospital, Radnor Park Avenue",Folkestone,Kent,CT19 5BN
Rotherham Hospital,01709 82 0000,Moorgate Road,Rotherham,,S60 2UD
Tavistock Community Hospital,01822 612233,Spring Hill,Tavistock,Devon,PL19 8LD
Doddington Hospital,01354 644299,"Benwick Road, Doddington",March,Cambridgeshire,PE15 0UG
Chapel Allerton Hospital,(0113) 2623404,Chapeltown Road,Leeds,West Yorkshire,LS7 4SA
BMI The Priory Hospital,0121 4402323,"Priory Road, Edgbaston",Birmingham,West Midlands,B5 7UG
Nottingham Woodthorpe Hospital,0115 920 9209,"748 Mansfield Road, Woodthorpe",Nottingham,Nottinghamshire,NG5 3FZ
North Cotswold Hospital,,Stow Road,Moreton-In-Marsh,Gloucestershire,GL56 0DS
Hove Polyclinic,,Nevill Avenue,,Hove,BN3 7HY
Orthopaedics and Spine Specialist Hospital,01733 333156,"1 Stirling Way, Bretton",Peterborough,Cambridgeshire,PE3 8YA
Melton Mowbray Hospital,,DEE CLOSE,MELTON MOWBRAY,,LE13 1SJ
Birmingham Children,0121 333 9999,Steelhouse Lane,Birmingham,,B4 6NH
George Eliot Hospital - Acute Services,02476 351 351,College Street,Nuneaton,Warwickshire,CV10 7DJ
Westwood Park Dtc,,Swift Drive,Bradford,West Yorkshire,BD6 3RW
Cirencester Hospital,01285 655711,Tetbury Road,Cirencester,,GL7 1UY
Zachary Merton Community Hospital ,01903 858100,"Zachary Merton Community Hospital, Glenville Road, Rustington",Littlehampton,Sussex,BN16 2EB
"Nuffield Health, Guildford Hospital",0800 015 5020,Stirling Road,Guildford,Surrey,GU2 7RF
Thomas Linacre Outpatient Centre,01942 244000,Parsons Walk,Wigan,Lancashire,WN1 1RU
The Royal South Hants Hospital,,Graham Road,Southampton,Hampshire,SO14 0YG
Livingstone Hospital,01322 622222,"Livingstone Community Hospital, East Hill",Dartford,Kent,DA1 1SA
Litherland Town Hall Walk In Centre,,"Litherland Town Hall Health Centre, Off Hatton Hill Road/Field Lane",Liverpool,Merseyside,L21 9JN
Norfolk and Norwich University Hospital,01603 286 286,Colney Lane,Norwich,Norfolk,NR4 7UY
Grindon Lane Primary Care Centre,0191 5252300,"Grindon Lane Primary Care Centre, Grindon Lane, Grindon",Sunderland,Tyne and Wear,SR3 4EN
St Austell Community Hospital,,Porthpean Road,St. Austell,Cornwall,PL26 6AD
Peterborough City Hospital,01733 678000,"Edith Cavell Campus, Bretton Gate, Bretton",Peterborough,Cambridgeshire,PE3 9GZ
BMI Mount Alvernia Hospital,01483 570122,46 Harvey Road,Guildford,Surrey,GU1 3LX
Princess Royal Hospital,01444 441881,Lewes Road,Haywards Heath,West Sussex,RH16 4EX
Oaks Hospital,0208 655 5500,Poppy Lane,Croydon,Surrey,CR9 8AB
Alfred Bean Hospital,,Bridlington Road,Driffield,North Humberside,YO25 5JR
Alnwick Infirmary,0344 811 8111,"Infirmary Drive, South Road",Alnwick,Northumberland,NE66 2NS
St Luke's Hospital,01865228800,"4 Latimer Road, Headington",Oxford,Oxfordshire,OX3 7PF
bpas (Richmond),03457304030,"Rosslyn Clinic, 15 Rosslyn Road",Twickenham,Middlesex,TW1 2AR
New Richardson Hospital,,Victoria Road,Barnard Castle,County Durham,DL12 8HT
Mount Stuart Hospital,01803 313881 ,St. Vincents Road,Torquay,Devon,TQ1 4UP
Stamford and Rutland Hospital,01780 764151,Ryhall Road,Stamford,Lincolnshire,PE9 1UA
Swaffham Community Hospital,01760 721363,Sporle Road,Swaffham,Norfolk,PE37 7HL
South Petherton Community Hospital,,Bernard Way,,,TA13 5EF
Brookfields Hospital,01223 723170,351 Mill Road,Cambridge,Cambridgeshire,CB1 3DF
Cheshunt Community Hospital,,"King Arthur Court, Cheshunt",Waltham Cross,Hertfordshire,EN8 8XN
Johnson Community Hospital,,"The Johnson Community Hospital, Spalding Road, Pinchbeck",Spalding,Lincolnshire,PE11 3DT
Bowmere Hospital,01244397300,"The Countess Of Chester Health Park, Liverpool Road",Chester,Cheshire,CH2 1BQ
Dartmouth Community Hospital,01803 832255,"South Embankment, Mansion House Street",Dartmouth,Devon,TQ6 9BD
CircleBath,01761 422 324,"Foxcote Avenue, Peasedown St John",Bath,,BA2 8SF
Bristol Haematology and Oncology Centre,0117 923 0000,Horfield Road,Bristol,,BS2 8ED
Shipley Hospital,01274 773390,98 Kirkgate,Shipley,West Yorkshire,BD18 3LT
Lever Chambers Centre for Health,01204 462600,27 Ashburner Street,Bolton,,BL1 1SQ
South Tyneside District Hospital,0191 404 1000,Harton Lane,South Shields,Tyne and Wear,NE34 0PL
Hammersmith Hospital,020 3313 1000,Du Cane Road,London,Greater London,W12 0HS
Palmer Community Hospital,0191 451 6000,Wear Street,Jarrow,Tyne and Wear,NE32 3UX
Broadgreen Hospital,0151 282 6000,Thomas Drive,Liverpool,Merseyside,L14 3LB
Spire Wellesley Hospital,01702 462 944 ,Eastern Avenue,Southend-on-Sea,Essex,SS2 4XH
Woking Community Hospital,,"Woking Community Hospital, Heathside Road",Woking,Surrey,GU22 7HS
Rochford Hospital,01268 739111,"Rochford Hospital, Union Lane",Rochford,Essex,SS4 1RB
Croydon University Hospital,020 8401 3000,530 London Road,Thornton Heath,Surrey,CR7 7YE
Bristol Royal Infirmary,0117 923 0000,Marlborough Street,Bristol,Avon,BS1 3NU
Russells Hall Hospital,01384 456111,Pensnett Road,Dudley,West Midlands,DY1 2HQ
Teignmouth Community Hospital,01626 772161,Mill Lane,Teignmouth,Devon,TQ14 9BQ
Horton NHS Treatment Centre,01295 755 000,Oxford Road,Banbury,Oxfordshire,OX16 9FG
Leighton Hospital,01270 255141,"Leighton Hospital, Middlewich Road",Crewe,Cheshire,CW1 4QJ
Wilmslow Road Medical Centre,0161 224 2452,"156 Wilmslow Road, Rusholme, Manchester",,,M14 5LQ
Ridgewood Centre,03005 555222,"Old Bisley Road, Frimley",Camberley,Surrey,GU16 9QE
Frome Community Hospital ,,Enos Way,,,BA11 2FH
Royal Liverpool University Dental Hospital,0151 706 2000,Pembroke Place,Liverpool,Merseyside,L3 5PS
Hexham General Hospital,0344 811 8111,Corbridge Road,Hexham,Northumberland,NE46 1QJ
Sunderland Royal Hospital,0191 565 6256,Kayll Road,Sunderland,,SR4 7TP
Fowey Hospital,,Park Road,Fowey,Cornwall,PL23 1EE
Juniper Centre,0121 301 5700,"Moseley Hall Hospital site, Alcester Road, Moseley",Birmingham,,B13 8JL
West Cumberland Hospital,01946 693181,"Homewood, Hensingham",Whitehaven,,CA28 8JG
Pershore Hospital,,"Queen Elizabeth House, Queen Elizabeth Drive",Pershore,Worcestershire,WR10 1PS
Newham General Hospital,020 7476 4000,"Glen Road, Plaistow",London,,E13 8SL
Sandalwood Court,01536424040,"Butland Road, Oakley Vale",Corby,Northamptonshire,NN18 8QA
BMI The Alexandra Hospital,0161 428 3656,"The Alexandra Hospital, Mill Lane",Cheadle,Cheshire,SK8 2PX
Paulton Memorial Hospital,,"Salisbury Road, Paulton",Bristol,Avon,BS39 7SB
BMI The South Cheshire Private Hospital,01270 500411,Leighton,Crewe,Cheshire,CW1 4QP
Mount Vernon Cancer Centre,,Rickmansworth Road,,,HA6 2RN
Hawkhurst Hospital,01580 753345,"Hawkhurst Community Hospital, High Street, Hawkhurst",Cranbrook,Kent,TN18 4PU
St Bartholomews Hospital,01634 810900,New Road,Rochester,Kent,ME1 1DS
Queen Elizabeth Hospital Birmingham,0121 627 2000,"Mindelsohn Way, Edgbaston",Birmingham,,B15 2WB
Holsworthy Hospital,01409 253 424,Dobles Lane,Holsworthy,Devon,EX22 6JQ
Princess of Wales Community Hospital,01527 488000,"Princess of Wales Community Hospital, Stourbridge Road",Bromsgrove,Worcestershire,B61 0BB
Lewes Victoria Hospital,01273 474153,Nevill Road,Lewes,East Sussex,BN7 1PE
Swanage Community Hospital,01929 422282,Queens Road,Swanage,Dorset,BH19 2ES
Didcot Health Centre,,Britwell Road,Didcot,Oxfordshire,OX11 7JH
"West Lane Hospital, Middlesbrough",01642 352000,Acklam Road,Middlesbrough,,TS5 4EE
Dorset County Hospital,01305 251150,"Dorset County Hospital, Williams Avenue",Dorchester,Dorset,DT1 2JY
Fleetwood Hospital,01253 306053,Pharos Street,Fleetwood,Lancashire,FY7 6BE
Milton Keynes Hospital,01908 660033,"Standing Way, Eaglestone",Milton Keynes,Buckinghamshire,MK6 5LD
Morris House Group Practice,,"239 Lordship Lane, Tottenham",London,Greater London,N17 6AA
Newark Hospital,01636 681681,Boundary Road,Newark,Nottinghamshire,NG24 4DE
Wrightington Hospital,01942 244000,"Hall Lane, Appley Bridge",Wigan,Lancashire,WN6 9EP
Basildon University Hospital,01268 524900,Nethermayne,Basildon,Essex,SS16 5NL
Clifton Hospital,01253 306204,Pershore Road,Lytham St. Annes,Lancashire,FY8 1PB
The York Hospital,01904 631 313,"The York Hospital, Wigginton Road",York,North Yorkshire,YO31 8HE
Pleck Health Centre,,16 Oxford Street,Walsall,West Midlands,WS2 9HY
Longreach House,01209 881900,"Barncoose Terrace, Barncoose",Redruth,Cornwall,TR15 3ER
